name,description
Преступление и наказание,"Главным героем романа является студент, который долгое время размышлял над тем, как совершить убийство старушки-процентщицы. У Родиона очень тяжело с деньгами, и он полагает, что всего лишь одно убийство способно решить все его проблемы. Он думает о том, что только сильная личность способна пойти на это, а именно таковым человеком он себя и считает. Хотя иногда у него возникают сомнения, ведь ему очень непросто совершить то, что он задумал. Однако он не предстает перед читателем исключительно отрицательным персонажем. Родион способен на светлые чувства, у него бывают благородные порывы. Сюжет романа напоминает детектив, что очень увлекает читателя, однако еще больший интерес вызывают идеи романа, его глубина и наполненность."
English Grammar in Use,- Easy to use: on each left-hand page a grammar point is explained and on the facing page there are exercises to check understanding.
Лучший из худших-3,"Анатолий Ланской в нашем мире имел всё то, о чём только можно было мечтать. Он родился в семье весьма влиятельного и состоятельного человека. По чистой случайности парень попал в другой мир, а всему виной его характер. Очень не любит Анатолий признавать своих ошибок, и ничего с этим не поделаешь! В результате теперь парень живёт в мире, где до сих пор существует Российская империя, правда, мир этот магический, а правят в нём аристократические семьи."
Мастер и Маргарита,"События происходят в 30-40-х годах 20 века. В Москву прибывает дьявол вместе со своей свитой, перед людьми он представляется иностранцем. Воланд заводит разговоры о религии, существовании Бога, мистическим образом вмешиваясь в судьбы людей. В театре «Варьете» он проводит выступление, где показывает совершенно невероятные фокусы. Он предоставляет женщинам возможность выбрать себе любые наряды абсолютно бесплатно. Но когда они выходят из театра, то остаются совершенно нагими, одежда исчезает. Личность Воланда таинственна, никто толком о нём ничего не знает. А он вершит правосудие, наказывая людей за алчность, трусость, лживость, предательство."
Видящий маг,"Жизнь Николая не сложилась, ведь его предали все. Из-за своей первой любви Светланы он стал инвалидом, и она его бросила. Второй жене и вовсе нужна была только квартира. Но это было в прошлой жизни. Теперь он живёт в другом мире и в другом теле."
Судьба или выбор,"Каждой девушке хотелось бы однажды встретить “того самого”, единственного. И, конечно, он будет прекрасен, силён и умён. При взгляде на него сердце будет замирать, а затем неистово биться, словно пытаясь выскочить из груди. Их свяжет такая любовь, которой не будут страшны никакие преграды. Её не смогут разрушить недоброжелатели, расстояние и время... А что, если однажды это действительно случится? Вот только этот единственный придёт из другого мира и будет не совсем человеком. Что тогда делать?"
Путешествия Души,"Информация, содержащаяся в книге, ранее никогда нигде не была опубликована. Связано это с тем, что она построена на основе диалогов с пациентами доктора Майкла Ньютона. Он при помощи самостоятельно разработанных методов регрессивного гипноза вводил их в особое состояние сознания. Находясь в нем, пациенты рассказывали о своих воспоминаниях о том, что было с ними в периодах между физическими воплощениями. Их ответы были настолько необычны, что удивили самого автора. "
Туман войны,"В 1990 году отряд советских военных советников вместе с местными партизанами должен был провести в Колумбии рядовую операцию. Ничего не предвещало негативного сценария развития событий, пока он не подвергся нападению неизвестного, но искусного противника. В результате трое военных советников погибло, а командир отряда был тяжело ранен. Командование на себя принял старший лейтенант Егор Шубин. Теперь на нём лежит ответственность за оставшихся в живых братьев по оружию и раненого командира."
Девушка: В одиночку,"Элле двадцать восемь лет. Она умна и пытлива. Девушка – агент ФБР, и теперь она получила единственный шанс воплотить в жизнь свою мечту. Дарк имеет возможность стать сотрудником отдела поведенческого анализа. При этом у Эллы есть скрытая одержимость. Дело в том, что её отец был убит. Это событие вызвало сильнейшее потрясение у девушки и наложило отпечаток на всю её жизнь. С этого момента Дарк изучает характер и поведение серийных убийц. Агент имеет фотографическую память, а также обладает уникальными знаниями о каждом маньяке, совершившем преступление в США, каждой жертве и обстоятельствах её убийства. Всё это позволило Элле стать сотрудницей отдела."
Брачный капкан для ведьмы,"Картрама – обычная сельская ведьма. Она живёт в тихой провинции и забот не знает. Её основное занятие – приготовление разных зелий. Некоторые из них могут излечить разные болезни, другие же – причинить большой вред человеку. При этом сама Картрама, в сущности, человек добрый, но такова уж природа всех ведьм: их магия только усиливается, если они делают людям много пакостей. В любом случае ведьму все уважают и любят, ведь иного выхода у её односельчан нет."
